stage,hole_cards,comm_cards,hand_potential,hand_strength,action
PREFLOP,"['9d', '7d']",-1,-0.04,-1,Player IlxxxlI folds
PREFLOP,"['Js', '3h']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['9s', 'Qc']",-1,-0.08,-1,Player IlxxxlI folds
PREFLOP,"['4s', '5d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Jd', 'Td']",-1,0.15,-1,Player IlxxxlI folds
PREFLOP,"['3s', '6d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['9d', 'Tc']",-1,-0.07,-1,Player IlxxxlI folds
PREFLOP,"['7d', 'Kh']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['Ad', 'Kd']",-1,0.78,-1, 'Player IlxxxlI raises (1.75)'
FLOP,"['Ad', 'Kd']","['Td', '2h', '5s']",0.15706244974537653,9, 'Player IlxxxlI checks'
TURN,"['Ad', 'Kd']","['Td', '2h', '5s', '2c']",0.2002144197266148,8, 'Player IlxxxlI checks'
RIVER,"['Ad', 'Kd']","['Td', '2h', '5s', '2c', '4d']",0.2002144197266148,8, 'Player IlxxxlI checks'
PREFLOP,"['2h', '6d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['3c', '6c']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['5c', '3d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['9h', '3s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['7s', 'Kh']",-1,-0.11,-1, 'Player IlxxxlI calls (0.50)'
FLOP,"['7s', 'Kh']","['Qh', '2s', '4s']",0.09059233449477355,9, 'Player IlxxxlI bets (1.26)'
TURN,"['7s', 'Kh']","['Qh', '2s', '4s', 'Qd']",0.4836504958456178,8, 'Player IlxxxlI checks'
RIVER,"['7s', 'Kh']","['Qh', '2s', '4s', 'Qd', '5c']",0.48378450817475205,8, 'Player IlxxxlI checks'
PREFLOP,"['7c', '4c']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['5h', '6s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['6c', 'Tc']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['7h', '5c']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['4s', '4h']",-1,-0.03,-1, 'Player IlxxxlI raises (1.20)'
FLOP,"['4s', '4h']","['7d', 'Ah', '6d']",0.25341731439292414,8, 'Player IlxxxlI checks'
TURN,"['4s', '4h']","['7d', 'Ah', '6d', '3h']",0.25341731439292414,8, 'Player IlxxxlI checks'
RIVER,"['4s', '4h']","['7d', 'Ah', '6d', '3h', 'Ac']",0.6551862771374967,7, 'Player IlxxxlI checks'
PREFLOP,"['3h', '5c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Ks', 'Qs']",-1,0.39,-1,Player IlxxxlI folds
PREFLOP,"['Ah', 'As']",-1,2.32,-1,'Player IlxxxlI raises (1.20)'
FLOP,"['Ah', 'As']","['Ac', 'Ad', '5d']",0.9974537657464487,2, 'Player IlxxxlI bets (0.50)'
TURN,"['Ah', 'As']","['Ac', 'Ad', '5d', '4s']",0.9974537657464487,2, 'Player IlxxxlI bets (2.31)'
PREFLOP,"['Kd', '2c']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['9c', '6s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['8h', '7h']",-1,-0.02,-1,
PREFLOP,"['9c', '7h']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['Tc', '4c']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['8s', '6h']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['Kh', '3s']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['2s', 'Th']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['3d', 'Qd']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['Th', '9c']",-1,-0.07,-1, 'Player IlxxxlI raises (1)'
FLOP,"['Th', '9c']","['3c', '2c', 'Kh']",0.075046904315197,9, 'Player IlxxxlI bets (1.11)'
TURN,"['Th', '9c']","['3c', '2c', 'Kh', '8h']",0.07719110158134546,9, 'Player IlxxxlI checks'
RIVER,"['Th', '9c']","['3c', '2c', 'Kh', '8h', '9s']",0.3972125435540069,8, 'Player IlxxxlI calls (6.50)'
PREFLOP,"['7s', '4s']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['4s', '6c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Jh', '9h']",-1,0.04,-1, 'Player IlxxxlI raises (3.50)'
PREFLOP,"['Kh', '3c']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['Jh', 'Ac']",-1,0.19,-1, 'Player IlxxxlI raises (1)'
FLOP,"['Jh', 'Ac']","['7c', '3h', '4h']",0.12342535513267217,9, 'Player IlxxxlI checks'
PREFLOP,"['Ac', 'Kd']",-1,0.51,-1, 'Player IlxxxlI raises (3.30)'
PREFLOP,"['9c', '9s']",-1,0.38,-1, 'Player IlxxxlI raises (3.50)'
PREFLOP,"['9s', '2h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['4h', '9d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['9d', '6h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['2h', '2s']",-1,-0.09,-1, 'Player IlxxxlI raises (2)'
PREFLOP,"['Ts', '9c']",-1,-0.07,-1,Player IlxxxlI folds
PREFLOP,"['Ks', 'Kd']",-1,1.67,-1,'Player IlxxxlI raises (1.50)'
PREFLOP,"['7h', '2d']",-1,-0.12,-1,Player IlxxxlI folds
