stage,num_players,hand_odds,std_odds,last_action,action
preflop,9,0.117,0.01953075437529743,checks,bets
preflop,9,0.08,0.005450979294972881,bets,folds
preflop,8,0.169,0.028224310672485875,bets,calls
preflop,8,0.106,0.03819894781362848,bets,calls
preflop,8,0.131,0.08926755264465616,bets,calls
preflop,8,0.082,0.07318265451929278,bets,folds
preflop,7,0.131,0.060156423496309744,bets,calls
preflop,7,0.088,0.09306457421701045,bets,folds
preflop,6,0.048,0.032962754823957635,bets,folds
flop,5,0.20242914979757085,0.170602463681931,checks,bets
flop,5,0.3292847503373819,0.17787189552934413,bets,raises
flop,5,0.12685560053981107,0.173758584822704,raises,calls
flop,5,0.0,0.08812655607488129,raises,folds
flop,4,0.0,0.10490577585527537,raises,folds
flop,3,0.20242914979757085,0.17441908726219946,raises,calls
turn,3,0.7380952380952381,0.2860020128501646,checks,bets
turn,3,0.21428571428571427,0.350564843362506,bets,calls
turn,3,0.0,0.3650459757939477,bets,folds
river,2,0.0,0.4705211371320702,checks,checks
river,2,1.0,0.4701494339744665,checks,bets
river,2,0.0,0.5408326222440567,bets,folds
preflop,9,0.12,0.07236002383155665,checks,bets
preflop,9,0.131,0.028283992235533358,bets,calls
preflop,9,0.054,0.012051525340310072,bets,folds
preflop,8,0.135,0.022418673048531103,bets,calls
preflop,8,0.079,0.027514292225512688,bets,folds
preflop,7,0.131,-0.006577911234686228,bets,calls
preflop,7,0.098,-0.012775141272033469,bets,folds
preflop,6,0.113,-0.009404399035870453,bets,calls
preflop,6,0.057,0.06985412790252202,bets,folds
flop,5,0.9676113360323887,0.4340030169957984,checks,bets
flop,5,0.0,0.3499024235690954,bets,folds
flop,4,0.032388663967611336,0.39807625127879914,bets,folds
flop,3,0.0,0.43071716073339616,bets,folds
flop,2,0.0,0.43493589663730536,bets,folds
preflop,9,0.066,0.04967574255870256,checks,checks
preflop,9,0.134,0.024519283885660763,checks,bets
preflop,9,0.06,0.05765647290452431,bets,folds
preflop,8,0.108,0.0732433668052142,bets,calls
preflop,8,0.056,0.07448763538464317,bets,folds
preflop,7,0.134,0.07274814640130314,bets,calls
preflop,7,0.103,0.017029254662636405,bets,calls
preflop,7,0.137,0.05611326637324054,bets,calls
preflop,7,0.127,0.09038951993648697,bets,calls
preflop,7,0.066,0.044588454488337655,bets,folds
flop,6,0.0,0.12554268868922125,checks,checks
flop,6,0.13813813813813813,0.04782861973529545,checks,bets
flop,6,0.05405405405405406,0.0779987586546041,bets,folds
flop,5,0.07657657657657657,0.05845432255417956,bets,folds
flop,4,0.22672672672672672,0.02604145682820199,bets,calls
flop,4,0.04054054054054054,0.09086434497275443,bets,folds
flop,3,0.0,0.031676028772348104,bets,folds
turn,2,0.8636363636363636,0.4118198161178277,checks,bets
turn,2,0.13636363636363635,0.3530245538144193,bets,calls
river,2,1.0,0.5399340009909039,checks,bets
river,2,0.0,0.5249627217160788,bets,folds
preflop,9,0.193,0.09968002236470831,checks,bets
preflop,9,0.065,0.05108580435825658,bets,folds
preflop,8,0.103,0.002770119117904299,bets,calls
preflop,8,0.093,0.08498943078971005,bets,folds
preflop,7,0.058,0.08646546743196283,bets,folds
preflop,6,0.154,0.04289163784006054,bets,calls
preflop,6,0.088,0.005176205563434261,bets,folds
preflop,5,0.098,0.03630656882242722,bets,folds
preflop,4,0.121,-0.0009706810774120223,bets,calls
flop,4,0.6292682926829268,0.2630214079058378,checks,bets
flop,4,0.1048780487804878,0.23143307430182014,bets,calls
flop,4,0.1573170731707317,0.2719475155508584,bets,calls
flop,4,0.10121951219512196,0.23235931368820897,bets,calls
turn,4,0.675,0.3007811560190303,checks,bets
turn,4,0.175,0.22893237351926846,bets,calls
turn,4,0.1,0.23605077888914985,bets,raises
turn,4,0.05,0.29595636720871377,raises,folds
turn,3,0.675,0.2487157616603437,raises,re-raises
turn,3,0.175,0.2153264672486006,re-raises,folds
turn,2,0.1,0.24544223540473256,re-raises,calls
river,2,1.0,0.46189175424440093,checks,bets
river,2,0.0,0.5301339230897127,bets,folds
preflop,9,0.102,0.08597293689877422,checks,bets
preflop,9,0.06,0.011936027347574527,bets,folds
preflop,8,0.076,0.09430763129039957,bets,folds
preflop,7,0.078,0.028025240684131147,bets,folds
preflop,6,0.07,0.021522283982601864,bets,folds
preflop,5,0.061,0.0597462945406159,bets,folds
preflop,4,0.088,0.004138213586196843,bets,folds
preflop,3,0.088,0.013592723873613217,bets,folds
preflop,2,0.186,0.011727413051509816,bets,calls
flop,2,0.16262626262626262,0.32010421771554576,checks,bets
flop,2,0.8292929292929293,0.36305766796904354,bets,raises
flop,2,0.16262626262626262,0.3827399072562044,raises,calls
turn,2,0.045454545454545456,0.47160032686377207,checks,checks
turn,2,0.9090909090909091,0.3996139319845752,checks,bets
turn,2,0.045454545454545456,0.48411000970860346,bets,folds
preflop,9,0.142,0.047007098529582556,checks,bets
preflop,9,0.172,-0.0022070329560183385,bets,calls
preflop,9,0.068,0.017569653915432616,bets,folds
preflop,8,0.076,0.06233722351920404,bets,folds
preflop,7,0.143,0.018324284741853734,bets,calls
preflop,7,0.109,0.07668164158740032,bets,calls
preflop,7,0.09,0.09348863333911465,bets,folds
preflop,6,0.079,0.009050643011224949,bets,folds
preflop,5,0.112,0.05360602944639693,bets,calls
flop,5,0.0,0.2681067894356862,checks,checks
flop,5,0.6275303643724697,0.20040986085299722,checks,bets
flop,5,0.1241565452091768,0.2846119046553237,bets,calls
flop,5,0.23616734143049933,0.18673723449317467,bets,calls
flop,5,0.0,0.26492463095100305,bets,folds
flop,4,0.0,0.25046237091168544,bets,folds
turn,3,0.6666666666666666,0.23472350659636185,checks,bets
turn,3,0.14285714285714285,0.23029417151643347,bets,calls
turn,3,0.19047619047619047,0.2333069983675863,bets,calls
river,3,1.0,0.48926885991604036,checks,bets
river,3,0.0,0.5237326713808036,bets,folds
river,2,0.0,0.47826836024001484,bets,folds
preflop,9,0.165,0.12238713657652425,checks,bets
preflop,9,0.144,0.03644889477329023,bets,calls
preflop,9,0.06,0.03790755454831593,bets,folds
preflop,8,0.121,0.12053519917882521,bets,calls
preflop,8,0.311,0.04387555764727731,bets,raises
preflop,8,0.088,0.03835821615264019,raises,folds
preflop,7,0.061,0.073743570022375,raises,folds
preflop,6,0.048,0.10142658810268809,raises,folds
preflop,5,0.09,0.12364929611494996,raises,folds
preflop,4,0.165,0.04823953665678168,raises,calls
preflop,4,0.144,0.1303650946455668,raises,calls
preflop,4,0.121,0.1203359742743895,raises,calls
flop,4,0.17317073170731706,0.2564261547620661,checks,bets
flop,4,0.14512195121951219,0.2166412831705472,bets,calls
flop,4,0.036585365853658534,0.18436138661459459,bets,folds
flop,3,0.6451219512195122,0.2530720480284607,bets,raises
flop,3,0.17317073170731706,0.21214192235368431,raises,calls
flop,3,0.14512195121951219,0.1905221747372018,raises,calls
turn,3,0.11904761904761904,0.34045598163974394,checks,bets
turn,3,0.047619047619047616,0.3141658469455034,bets,folds
turn,2,0.8333333333333334,0.39099724323733986,bets,raises
turn,2,0.11904761904761904,0.32234261206300185,raises,calls
river,2,0.0,0.5180771483994343,checks,checks
river,2,1.0,0.5090714416565753,checks,bets
river,2,0.0,0.5025398350450276,bets,folds
preflop,9,0.129,0.11233548692444081,checks,bets
preflop,9,0.134,0.042248319900569355,bets,calls
preflop,9,0.261,0.016863291388890395,bets,raises
preflop,9,0.078,0.0789065446885987,raises,folds
preflop,8,0.071,0.08842902636145214,raises,folds
preflop,7,0.154,0.1094905109466758,raises,calls
preflop,7,0.137,0.045364628572541886,raises,calls
preflop,7,0.088,0.07058368265840448,raises,folds
preflop,6,0.096,0.03398489181130614,raises,folds
preflop,5,0.129,0.01028430688844175,raises,calls
preflop,5,0.134,0.028428254900382845,raises,calls
flop,5,0.0796221322537112,0.18199414301641828,checks,checks
