stage,aggression,action,stake,play_style,hand_quality
hole,1.1505,bets,1.505,agressive,0.215
hole,1.1505,calls,1.505,average,0.184
hole,-0.8495,folds,1.505,safe,0.195
flop,1.0,checks,0.0,agressive,0.25254
flop,2.205134,bets,2.05134,average,0.82054
flop,0.205134,folds,2.05134,agressive,0.25254
hole,1.1,calls,1.0,agressive,0.139
hole,1.1,calls,1.0,average,0.173
hole,-1.1,folds,1.0,safe,0.11
flop,2.16975,calls,1.6975,agressive,0.77706
flop,2.16975,calls,1.6975,average,0.716
turn,3.160386,bets,1.60386,agressive,0.64155
turn,1.160386,folds,1.60386,average,0.57391
hole,1.1,calls,1.0,agressive,0.19
hole,1.1,calls,1.0,average,0.11
hole,-1.1,folds,1.0,safe,0.142
flop,1.0,checks,0.0,agressive,0.46346
flop,2.197502,bets,1.97502,average,0.79001
flop,0.197502,folds,1.97502,agressive,0.46346
hole,1.1,calls,1.0,agressive,0.189
hole,1.1,calls,1.0,average,0.189
hole,1.1,calls,1.0,safe,0.259
flop,1.0,checks,0.0,agressive,0.35245
flop,1.0,checks,0.0,average,0.35245
flop,1.0,checks,0.0,safe,0.74098
turn,0.178261,folds,1.78261,agressive,0.26763
turn,0.178261,folds,1.78261,average,0.26763
turn,0.178261,folds,1.78261,safe,0.62705
hole,1.1624,bets,1.624,agressive,0.232
hole,-0.8376,folds,1.624,average,0.095
hole,-0.8376,folds,1.624,safe,0.091
flop,0.24930599999999997,folds,2.49306,agressive,0.46346
hole,1.1,calls,1.0,agressive,0.166
hole,1.1,calls,1.0,average,0.101
hole,-1.1,folds,1.0,safe,0.142
flop,2.150093,calls,1.50093,agressive,0.81129
flop,0.150093,folds,1.50093,average,0.15264
turn,3.197101,bets,1.97101,agressive,0.78841
hole,1.1,calls,1.0,agressive,0.12
hole,1.1,calls,1.0,average,0.13
hole,1.1,calls,1.0,safe,0.204
flop,1.0,checks,0.0,agressive,0.24514
flop,1.0,checks,0.0,average,0.00833
flop,1.0,checks,0.0,safe,0.64107
turn,1.0,checks,0.0,agressive,0.17101
turn,2.180193,bets,1.80193,average,0.72077
turn,2.180193,calls,1.80193,safe,0.73623
turn,0.180193,folds,1.80193,agressive,0.17101
river,3.178788,bets,1.78788,average,0.71515
river,1.178788,folds,1.78788,safe,0.6202
hole,1.1,calls,1.0,agressive,0.194
hole,1.1,calls,1.0,average,0.142
hole,-1.1,folds,1.0,safe,0.11
flop,0.224098,folds,2.24098,agressive,0.55597
flop,0.224098,folds,2.24098,average,0.40796
hole,1.1,calls,1.0,agressive,0.18
hole,1.1,calls,1.0,average,0.174
hole,-1.1,folds,1.0,safe,0.14
flop,0.191489,folds,1.91489,agressive,0.53377
flop,0.191489,folds,1.91489,average,0.44126
hole,1.1,calls,1.0,agressive,0.162
hole,1.1,calls,1.0,average,0.163
hole,1.1,calls,1.0,safe,0.379
flop,2.206984,calls,2.06984,agressive,0.60592
flop,2.206984,calls,2.06984,average,0.78723
flop,2.206984,calls,2.06984,safe,0.9556
turn,1.173671,folds,1.73671,agressive,0.49372
turn,3.173671,calls,1.73671,average,0.6599
turn,3.173671,calls,1.73671,safe,0.81643
river,3.0,checks,0.0,average,0.5202
river,3.0,checks,0.0,safe,0.74545
hole,-1.1,folds,1.0,agressive,0.089
hole,1.1,calls,1.0,average,0.139
hole,1.1,calls,1.0,safe,0.278
flop,1.0,checks,0.0,average,0.17484
flop,2.239824,bets,2.39824,safe,0.9593
flop,0.23982399999999998,folds,2.39824,average,0.17484
hole,1.1,calls,1.0,agressive,0.169
hole,1.1,calls,1.0,average,0.156
hole,1.1,calls,1.0,safe,0.189
flop,2.184551,bets,1.84551,agressive,0.73821
flop,0.184551,folds,1.84551,average,0.31915
flop,0.184551,folds,1.84551,safe,0.45236
hole,-1.1,folds,1.0,agressive,0.086
hole,1.1,calls,1.0,average,0.128
hole,-1.1,folds,1.0,safe,0.142
flop,1.0,checks,0.0,average,0.31915
turn,1.0,checks,0.0,average,0.33333
river,2.189394,bets,1.89394,average,0.75758
hole,1.1953,bets,1.953,agressive,0.279
hole,-0.8047,folds,1.953,average,0.12
hole,-0.8047,folds,1.953,safe,0.114
hole,1.1645,bets,1.645,agressive,0.235
hole,1.1645,calls,1.645,average,0.12
hole,-0.8355,folds,1.645,safe,0.091
flop,1.0,checks,0.0,agressive,0.58927
flop,1.0,checks,0.0,average,0.16374
turn,2.158213,bets,1.58213,agressive,0.63285
turn,0.158213,folds,1.58213,average,0.2
hole,1.1,calls,1.0,agressive,0.14
hole,1.1,calls,1.0,average,0.251
hole,1.1,calls,1.0,safe,0.244
flop,1.0,checks,0.0,agressive,0.09713
flop,2.248844,bets,2.48844,average,0.99537
flop,0.248844,folds,2.48844,safe,0.60037
flop,0.248844,folds,2.48844,agressive,0.09713
hole,1.1,calls,1.0,agressive,0.19
hole,1.2652999999999999,bets,2.653,average,0.379
hole,-0.7347,folds,2.653,safe,0.151
hole,2.2653,calls,2.653,agressive,0.19
flop,3.179695,bets,1.79695,agressive,0.71878
flop,2.179695,calls,1.79695,average,0.79648
turn,3.0,checks,0.0,agressive,0.56232
turn,3.188647,bets,1.88647,average,0.75459
turn,2.188647,folds,1.88647,agressive,0.56232
hole,1.1,calls,1.0,agressive,0.169
hole,1.1,calls,1.0,average,0.142
hole,-1.1,folds,1.0,safe,0.124
flop,1.0,checks,0.0,agressive,0.34135
flop,1.0,checks,0.0,average,0.06753
turn,0.223188,folds,2.23188,agressive,0.26763
turn,0.223188,folds,2.23188,average,0.07053
hole,1.1,calls,1.0,agressive,0.135
hole,1.1,calls,1.0,average,0.259
hole,-1.1,folds,1.0,safe,0.126
flop,2.25,calls,2.5,agressive,0.97595
flop,2.25,calls,2.5,average,0.72988
turn,3.248551,calls,2.48551,agressive,0.97295
turn,3.248551,calls,2.48551,average,0.90242
river,4.22803,calls,2.2803,agressive,0.91212
river,4.22803,calls,2.2803,average,0.99899
hole,1.1,calls,1.0,agressive,0.117
hole,1.1,calls,1.0,average,0.219
hole,-1.1,folds,1.0,safe,0.099
flop,2.173913,bets,1.73913,agressive,0.69565
flop,2.173913,calls,1.73913,average,0.99722
